C.Wt%,0.249,,eq.strain,eq.stress.MPa,,eq.stress.MPa,theta,,eq.stress.MPa,d.theta/d.stress,d.theta/d.stress(normalised),,eq.stress.MPa,relative.austenite.fraction
,,,0.000909586,165.5855225,,173.6523879,158480.6045,,179.7788943,27.84752544,0.092825085,,,
,,,0.000919577,167.339606,,175.3302055,154352.7514,,181.7127407,26.24011662,0.087467055,,,
,,,0.000949549,171.0158969,,178.5179748,155714.9548,,183.6310574,14.5548038,0.048516013,,,
,,,0.000959539,172.8569848,,179.7475406,147683.0761,,185.5438247,41.53677879,0.138455929,,,
,,,0.000959539,174.609484,,181.061321,145989.2218,,187.4551902,41.53665326,0.138455511,,,
,,,0.00096953,176.2892755,,185.7518415,170849.3812,,189.3660983,7.397113868,0.024657046,,,
,,,0.00098951,178.0354201,,185.9270897,163126.7053,,191.2710877,25.37333414,0.08457778,,,
,,,0.0009995,179.7277081,,187.5805761,163012.4428,,193.1711512,24.79674992,0.082655833,,,
,,,0.00100949,181.3952056,,189.2529158,163424.5507,,195.0530528,30.37641863,0.101254729,,,
,,,0.00103946,184.6949086,,191.078253,175202.703,,196.9290353,49.92676922,0.166422564,,,
,,,0.00103946,186.3085283,,194.3171115,177930.9851,,198.8052259,21.88896746,0.072963225,,,
,,,0.001049449,187.9016826,,196.2618977,159850.3137,,200.6839384,45.59595595,0.15198652,,,
,,,0.001059439,189.5321068,,197.8854904,153169.0138,,202.5611201,48.35602754,0.161186758,,,
,,,0.001069428,191.1129123,,197.7757765,163415.6898,,204.4373475,10.44316793,0.03481056,,,
,,,0.001089406,194.2597221,,199.276841,161967.5953,,206.3120326,3.651508113,0.012171694,,,
,,,0.001099395,195.8008997,,202.7246922,158696.1367,,208.1847328,48.68213474,0.162273782,,,
,,,0.001109384,197.2825242,,204.248582,152663.2271,,210.0561475,53.62450161,0.178748339,,,
,,,0.001109384,198.7721234,,205.7055141,147432.0636,,211.9260161,63.90812994,0.2130271,,,
,,,0.001119373,200.2140692,,207.2436305,150949.9613,,213.7893665,44.64486325,0.148816211,,,
,,,0.001139351,201.821919,,210.4479436,155534.7892,,215.6502705,45.07140119,0.150238004,,,
,,,0.001149339,203.3409041,,211.8470311,153255.0081,,217.5032981,41.3552661,0.137850887,,,
